Title,WP_page_title,FirstWeekendBoxOfficeRevenue,NumberOfTheaters,Date_of_release,InceptionOfArticle,Views30,Log_FirstWeekendBoxOfficeRevenue,Log_NumberOfTheaters,Log_Views30,Log_InceptionOfArticle,MonthOfRelease,Sequel
Our Family Wedding,Our_Family_Wedding,7629862,1605,3/12/2010,32,5675,15.84758032,7.380879036,8.643825842,3.465735903,3,0
The Warrior%27s Way,The_Warrior%27s_Way,3048665,1622,12/3/2010,551,96214,14.93021435,7.391415235,11.47433016,6.311734809,12,0
Just Wright,Just_Wright,8284989,1831,5/14/2010,269,42107,15.92995588,7.512617545,10.64796928,5.59471138,5,0
Brooklyn%27s Finest,Brooklyn%27s_Finest,13350299,1936,3/5/2010,638,179016,16.40704934,7.568379268,12.09523047,6.458338283,3,0
Lottery Ticket,Lottery_Ticket_(film),10652297,1973,8/20/2010,352,233413,16.18128611,7.587310506,12.3605647,5.863631176,8,0
The Switch,The_Switch_(2010_film),8436713,2012,8/20/2010,550,248735,15.94810334,7.606884531,12.42414335,6.309918278,8,0
Let Me In,Let_Me_In_(film),5147479,2020,10/1/2010,442,367028,15.45401764,7.61085279,12.81319342,6.091309882,10,0
For Colored Girls,For_Colored_Girls,19497324,2127,11/5/2010,136,132325,16.78578778,7.662467815,11.7930163,4.912654886,11,0
Takers,Takers,20512304,2206,8/27/2010,664,863451,16.83653546,7.6989362,13.66869243,6.498282149,8,0
Case 39,Case_39,5350570,2211,10/1/2010,1357,462381,15.49271366,7.701200181,13.04414451,7.21303166,10,0
Remember Me,Remember_Me_(2010_film),8089139,2212,3/12/2010,248,352643,15.90603286,7.701652363,12.77321149,5.513428746,3,0
Step Up 3D,Step_Up_3D,15812311,2435,8/6/2010,445,544782,16.57629937,7.797702036,13.20814099,6.098074282,8,0
Faster,Faster_(2010_film),8523153,2454,11/24/2010,284,242858,15.9582969,7.805474625,12.40023219,5.648974238,11,0
Love and Other Drugs,Love_and_Other_Drugs,9739161,2455,11/24/2010,445,344522,16.09166553,7.80588204,12.74991323,6.098074282,11,0
When in Rome,When_in_Rome_(2010_film),12350041,2456,1/29/2010,645,320215,16.32916994,7.806289289,12.67674792,6.469250317,1,0
Death at a Funeral,Death_at_a_Funeral_(2010_film),16217540,2459,4/16/2010,131,173598,16.60160393,7.807510042,12.06449756,4.875197323,4,0
Piranha 3D,Piranha_3D,10106872,2470,8/20/2010,663,437259,16.12872615,7.81197343,12.98828098,6.49677499,8,0
Legion,Legion_(2010_film),17501625,2476,1/22/2010,554,599805,16.67780429,7.814399634,13.30435988,6.317164687,1,0
The Crazies,The_Crazies_(2010_film),16067552,2476,2/26/2010,315,227928,16.59231239,7.814399634,12.33678507,5.752572639,2,0
How Do You Know,How_Do_You_Know,7484696,2483,12/17/2010,261,223284,15.82837096,7.817222786,12.31619978,5.564520407,12,0
Leap Year,Leap_Year_(2010_film),9202815,2511,1/8/2010,82,21248,16.03501997,7.828436359,9.964018052,4.406719247,1,0
Morning Glory,Morning_Glory_(2010_film),9203266,2518,11/10/2010,573,528044,16.03506898,7.831220215,13.17693489,6.350885717,11,0
Repo Men,Repo_Men,6126170,2521,3/19/2010,1005,216890,15.62808032,7.832410927,12.28714559,6.91274282,3,0
Daybreakers,Daybreakers,15146692,2523,1/8/2010,960,357748,16.53329272,7.833203949,12.78758411,6.866933284,1,0
Gulliver%27s Travels,Gulliver%27s_Travels_(2010_film),6307691,2546,12/25/2010,529,405931,15.65728024,7.842278779,12.91393847,6.270988432,12,0
You Again,You_Again,8407513,2548,9/24/2010,176,74968,15.94463627,7.843064017,11.22481663,5.170483995,9,0
Extraordinary Measures,Extraordinary_Measures,6012594,2549,1/22/2010,96,35728,15.60936683,7.843456404,10.48368997,4.564348191,1,0
MacGruber,MacGruber_(film),4043495,2551,5/21/2010,148,169293,15.21261997,7.844240718,12.03938622,4.997212274,5,0
The Next Three Days,The_Next_Three_Days,6542779,2564,11/19/2010,388,245751,15.69387256,7.849323818,12.41207411,5.96100534,11,0
My Soul to Take,My_Soul_to_Take,6842220,2572,10/8/2010,345,130824,15.7386228,7.852439085,11.78160819,5.843544417,10,0
Alpha and Omega,Alpha_and_Omega_(film),9106906,2625,9/17/2010,512,327933,16.02454358,7.872836175,12.7005646,6.238324625,9,0
Predators,Predators_(film),24760882,2669,7/9/2010,2215,998786,17.02477563,7.889459149,13.81429582,7.703007682,7,0
Machete,Machete_(film),11416164,2670,9/3/2010,1255,1604484,16.2505408,7.889833751,14.28831277,7.134890852,9,0
The Last Song,The_Last_Song_(film),16007426,2673,3/31/2010,364,913522,16.5885633,7.890956716,13.72506274,5.897153868,3,0
Get Him to the Greek,Get_Him_to_the_Greek,17570955,2697,6/4/2010,591,687201,16.68175781,7.899895323,13.4403821,6.381816017,6,0
Charlie St. Cloud,Charlie_St._Cloud_(film),12381585,2718,7/30/2010,334,245793,16.33172085,7.907651595,12.412245,5.811140993,7,0
Ramona and Beezus,Ramona_and_Beezus,7810481,2719,7/23/2010,435,592032,15.87097711,7.908019445,13.29131597,6.075346031,7,0
From Paris with Love,From_Paris_with_Love_(film),8158860,2722,2/5/2010,457,168159,15.91461501,7.909122183,12.03266524,6.124683391,2,0
Hot Tub Time Machine,Hot_Tub_Time_Machine,14020502,2754,3/26/2010,300,204243,16.45603124,7.920809679,12.22706574,5.703782475,3,0
